Enter the purchase price of your home: $400000.00
Enter the term of the loan in years: 20
Enter your down payment percentage: 25.0

Loan amount: $300,000.00
Loan type: 20-Year Fixed, 90% or less LTV at 4.875% APR
Monthly Payment = $1,959.21
                           Amortization Table                           

Payment   Interest Payment   Principal Payment    Principal Balance      PMI   
   #            ($)                 ($)                  ($)             ($)   
==============================================================================
   0                                                300,000.00
   1         1,218.75              740.46           299,259.54            0.00
   2         1,215.74              743.47           298,516.07            0.00
   3         1,212.72              746.49           297,769.58            0.00
   4         1,209.69              749.52           297,020.06            0.00
   5         1,206.64              752.57           296,267.49            0.00
   6         1,203.59              755.62           295,511.87            0.00
   7         1,200.52              758.69           294,753.18            0.00
   8         1,197.43              761.78           293,991.40            0.00
   9         1,194.34              764.87           293,226.53            0.00
  10         1,191.23              767.98           292,458.55            0.00
  11         1,188.11              771.10           291,687.45            0.00
  12         1,184.98              774.23           290,913.22            0.00
  13         1,181.83              777.38           290,135.84            0.00
  14         1,178.68              780.53           289,355.31            0.00
  15         1,175.51              783.70           288,571.61            0.00
  16         1,172.32              786.89           287,784.72            0.00
  17         1,169.13              790.08           286,994.64            0.00
  18         1,165.92              793.29           286,201.35            0.00
  19         1,162.69              796.52           285,404.83            0.00
  20         1,159.46              799.75           284,605.08            0.00
  21         1,156.21              803.00           283,802.08            0.00
  22         1,152.95              806.26           282,995.82            0.00
  23         1,149.67              809.54           282,186.28            0.00
  24         1,146.38              812.83           281,373.45            0.00
  25         1,143.08              816.13           280,557.32            0.00
  26         1,139.76              819.45           279,737.87            0.00
  27         1,136.44              822.77           278,915.10            0.00
  28         1,133.09              826.12           278,088.98            0.00
  29         1,129.74              829.47           277,259.51            0.00
  30         1,126.37              832.84           276,426.67            0.00
  31         1,122.98              836.23           275,590.44            0.00
  32         1,119.59              839.62           274,750.82            0.00
  33         1,116.18              843.03           273,907.79            0.00
  34         1,112.75              846.46           273,061.33            0.00
  35         1,109.31              849.90           272,211.43            0.00
  36         1,105.86              853.35           271,358.08            0.00
  37         1,102.39              856.82           270,501.26            0.00
  38         1,098.91              860.30           269,640.96            0.00
  39         1,095.42              863.79           268,777.17            0.00
  40         1,091.91              867.30           267,909.87            0.00
  41         1,088.38              870.83           267,039.04            0.00
  42         1,084.85              874.36           266,164.68            0.00
  43         1,081.29              877.92           265,286.76            0.00
  44         1,077.73              881.48           264,405.28            0.00
  45         1,074.15              885.06           263,520.22            0.00
  46         1,070.55              888.66           262,631.56            0.00
  47         1,066.94              892.27           261,739.29            0.00
  48         1,063.32              895.89           260,843.40            0.00
  49         1,059.68              899.53           259,943.87            0.00
  50         1,056.02              903.19           259,040.68            0.00
  51         1,052.35              906.86           258,133.82            0.00
  52         1,048.67              910.54           257,223.28            0.00
  53         1,044.97              914.24           256,309.04            0.00
  54         1,041.26              917.95           255,391.09            0.00
  55         1,037.53              921.68           254,469.41            0.00
  56         1,033.78              925.43           253,543.98            0.00
  57         1,030.02              929.19           252,614.79            0.00
  58         1,026.25              932.96           251,681.83            0.00
  59         1,022.46              936.75           250,745.08            0.00
  60         1,018.65              940.56           249,804.52            0.00
  61         1,014.83              944.38           248,860.14            0.00
